"L","M","U","x","G","EIR","Resistance_level","Access","Dosage","Seasonality","drug"
-0.0287631196241769,-0.0105864292669077,0.00911747153716481,27,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0286712122328612,-0.0108211057064903,0.00827844699614268,28,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.028749355519876,-0.00999682310919993,0.00953590502939685,29,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0296933388658234,-0.010973855730276,0.00893184953298102,30,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0290552441166186,-0.0105797850407656,0.00890244320163676,31,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0291603988756282,-0.00995263189508229,0.00927658253555082,32,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.028642647084074,-0.00998310437898511,0.00905636879268108,33,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0287750818759339,-0.0100116414596704,0.0095037428510399,34,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0291547278515119,-0.00926801003485958,0.00954591725416671,35,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0292885329209964,-0.0109683093730689,0.00825072908855892,36,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0292994115868311,-0.0105828847581007,0.0086907909119951,37,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0281985112670899,-0.00929938746636609,0.00984213739246828,38,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0282891679413675,-0.0111163586267938,0.00896299404795622,39,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
NA,NA,NA,40,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0271816804926816,-0.00811193992663411,0.010504055173208,1,"half_life_short",5,7,0.04,0,"sesonality1","A+B"
